;AT;DE;UK;FR;NL;IT;PL;ES;SE;BE;IE
Biomass;0;0;0;0;0;0;0;0;0;0;0
Fossil Brown coal/Lignite;1075,5;1018,94;1018,94;923,04;799,37;1001,28;1078,88;1221,36;1075,5;1037,31;1201,64
Fossil Coal-derived gas;380;409,62;409,62;391,79;404,39;428,62;408,97;399,79;312,59;393,56;473,89
Fossil Gas;380;409,62;409,62;391,79;404,39;428,62;408,97;399,79;312,59;393,56;473,89
Fossil Hard Coal;1075,5;1018,94;1018,94;923,04;799,37;1001,28;1078,88;1221,36;1075,5;1037,31;1201,64
Fossil Oil;641,08;641,08;641,08;657,06;925,95;860,73;641,08;641,08;373,49;641,08;641,08
Fossil Oil Shale;641,08;641,08;641,08;657,06;925,95;860,73;641,08;641,08;373,49;641,08;641,08
Fossil Peat;0;0;0;0;0;0;0;0;0;0;0
Geothermal;0;0;0;0;0;0;0;0;0;0;0
Hydro Pumped Storage;0;0;0;0;0;0;0;0;0;0;0
Hydro Run-of-river and poundage;0;0;0;0;0;0;0;0;0;0;0
Hydro Water Reservoir;0;0;0;0;0;0;0;0;0;0;0
Marine;0;0;0;0;0;0;0;0;0;0;0
Other;28,6;28,6;28,6;28,6;28,6;28,6;28,6;28,6;28,6;28,6;28,6
Other Renewable;0;0;0;0;0;0;0;0;0;0;0
Solar;0;0;0;0;0;0;0;0;0;0;0
Wind Onshore;0;0;0;0;0;0;0;0;0;0;0
Wind Offshore;0;0;0;0;0;0;0;0;0;0;0
Nuclear;0;0;0;0;0;0;0;0;0;0;0
Waste;0;0;0;0;0;0;0;0;0;0;0
